!,consonant
{o~*,vowel
{o~*,constricted
{o~*,nasal
{o~*,back
{o~*,rounded
{o9,vowel
{o9,raised
{o9,back
{o9,rounded
{o9:,vowel
{o9:,LONG
{o9:,raised
{o9:,back
{o9:,rounded
{o9~,vowel
{o9~,raised
{o9~,nasal
{o9~,back
{o9~,rounded
{oS,vowel
{oS,SHORTENED
{oS,back
{oS,rounded
{r,consonant
{r,trill
{r,voiced
{r,dental/alveolar
{r-,consonant
{r-,trill
{r-,velarized
{r-,voiced
{r-,dental/alveolar
{r[,consonant
{r[,flap
{r[,voiced
{r[,dental/alveolar
{r[J,consonant
{r[J,flap
{r[J,palatalized
{r[J,voiced
{r[J,dental/alveolar
{r*,consonant
{r*,trill
{r*,laryngealized
{r*,voiced
{r*,dental/alveolar
{r9,consonant
{r9,trill
{r9,pharyngealized
{r9,voiced
{r9,dental/alveolar
{rA,consonant
{rA,approximant
{rA,voiced
{rA,dental/alveolar
{rF,consonant
{rF,fricative
{rF,voiced
{rF,dental/alveolar
{rF,trill
{rJ,consonant
{rJ,trill
{rJ,palatalized
{rJ,voiced
{rJ,dental/alveolar
{rr,consonant
{rr,R-SOUND
{rr,voiced
{rr,dental/alveolar
{rr*,consonant
{rr*,R-SOUND
{rr*,laryngealized
{rr*,voiced
{rr*,dental/alveolar
{s,consonant
{s,fricative
{s,voiceless
{s,dental/alveolar
{s,sibilant
{s:,consonant
{s:,fricative
{s:,long
{s:,voiceless
{s:,dental/alveolar
{s:,sibilant
{s&,consonant
{s&,fricative
{s&,voiceless
{s&,dental/alveolar
{s&,sibilant
{s&,ejective
{s9,consonant
{s9,fricative
{s9,pharyngealized
{s9,voiceless
{s9,dental/alveolar
{s9,sibilant
{sh,consonant
{sh,fricative
{sh,voiceless
{sh,aspirated
{sh,dental/alveolar
{sh,sibilant
{sJ,consonant
{sJ,fricative
{sJ,palatalized
{sJ,voiceless
{sJ,dental/alveolar
{sJ,sibilant
{sW,consonant
{sW,fricative
{sW,labialized
{sW,voiceless
{sW,dental/alveolar
{sW,sibilant
{sW:,consonant
{sW:,fricative
{sW:,long
{sW:,labialized
{sW:,voiceless
{sW:,dental/alveolar
{sW:,sibilant
{t,consonant
{t,plosive
{t,voiceless
{t,dental/alveolar
{t-h,consonant
{t-h,plosive
{t-h,velarized
{t-h,voiceless
{t-h,aspirated
{t-h,dental/alveolar
{t:,consonant
{t:,plosive
{t:,long
{t:,voiceless
{t:,dental/alveolar
{t*,consonant
{t*,plosive
{t*,laryngealized
{t*,voiceless
{t*,dental/alveolar
{t&,consonant
{t&,plosive
{t&,voiceless
{t&,dental/alveolar
{t&,ejective
{t9,consonant
{t9,plosive
{t9,pharyngealized
{t9,voiceless
{t9,dental/alveolar
{th,consonant
{th,plosive
{th,voiceless
{th,aspirated
{th,dental/alveolar
{thh,consonant
{thh,plosive
{thh,voiceless
{thh,dental/alveolar
{thh,with
{thh,breathy
{thh,release
{tJ,consonant
{tJ,plosive
{tJ,palatalized
{tJ,voiceless
{tJ,dental/alveolar
{tJh,consonant
{tJh,plosive
{tJh,palatalized
{tJh,voiceless
{tJh,aspirated
{tJh,dental/alveolar
{tlF,consonant
{tlF,affricate
{tlF,voiceless
{tlF,dental/alveolar
{tlF,lateral
{tlF:,consonant
{tlF:,affricate
{tlF:,long
{tlF:,voiceless
{tlF:,dental/alveolar
